2,2,pour,prep,les_autres,det,volets,nc,de,prep,l',det,O.
5,5,de,prep,l',det,actualité,nc,internationale,adj,en_plus,adv,O.
6,6,l',det,actualité,nc,internationale,adj,en_plus,adv,bref,adj,O.
10,10,bref,adj,en,prep,Afrique,np,le,det,président,nc,B-geoloc.
12,12,Afrique,np,le,det,président,nc,américain,adj,a,v,O.
13,13,le,det,président,nc,américain,adj,a,v,regagné,v,O.
16,16,a,v,regagné,v,l',det,Afrique_du_Sud,np,dans,prep,O.
17,17,regagné,v,l',det,Afrique_du_Sud,np,dans,prep,la,det,B-geoloc.
20,20,dans,prep,la,det,soirée,nc,POINT,ponctw,XX,XX,O.
21,21,la,det,soirée,nc,POINT,ponctw,XX,XX,XX,XX,O.
25,2,pour,prep,une,det,brève,adj,étape,nc,nocturne,adj,O.
26,3,une,det,brève,adj,étape,nc,nocturne,adj,il,cln,O.
27,4,brève,adj,étape,nc,nocturne,adj,il,cln,doit,v,O.
33,10,rendre,v,demain,adv,matin,nc,en,prep,Ouganda,np,O.
34,11,demain,adv,matin,nc,en,prep,Ouganda,np,avant_dernière,adj,O.
35,12,matin,nc,en,prep,Ouganda,np,avant_dernière,adj,étape,nc,B-geoloc.
36,13,en,prep,Ouganda,np,avant_dernière,adj,étape,nc,de,prep,O.
37,14,Ouganda,np,avant_dernière,adj,étape,nc,de,prep,sa,det,O.
40,17,de,prep,sa,det,tournée,nc,africaine,adj,avant,prep,O.
41,18,sa,det,tournée,nc,africaine,adj,avant,prep,le,det,O.
43,20,africaine,adj,avant,prep,le,det,Nigéria,np,POINT,ponctw,O.
44,21,avant,prep,le,det,Nigéria,np,POINT,ponctw,XX,XX,B-geoloc.
45,22,le,det,Nigéria,np,POINT,ponctw,XX,XX,XX,XX,O.
48,1,XX,XX,le,det,secrétaire,nc,général,adj,des,prep,O.
49,2,le,det,secrétaire,nc,général,adj,des,prep,Nations_unies,np,O.
51,4,général,adj,des,prep,Nations_unies,np,Kofi_Annan,np,se,clr,B-org.
52,5,des,prep,Nations_unies,np,Kofi_Annan,np,se,clr,rendra,v,B-person.
55,8,se,clr,rendra,v,lundi,nc,à,prep,Washington,np,O.
56,9,rendra,v,lundi,nc,à,prep,Washington,np,pour,prep,O.
57,10,lundi,nc,à,prep,Washington,np,pour,prep,s',clr,B-geoloc.
65,18,à,prep,sa,det,demande,nc,avec,prep,le,det,O.
68,21,avec,prep,le,det,président,nc,américain,adj,George,np,O.
69,22,le,det,président,nc,américain,adj,George,np,Bush,np,O.
70,23,président,nc,américain,adj,George,np,Bush,np,c',cln,B-person.
71,24,américain,adj,George,np,Bush,np,c',cln,est_ce_qu',adv,I-person.
77,30,annoncé,v,l',det,ONU,nc,POINT,ponctw,XX,XX,B-org.
78,31,l',det,ONU,nc,POINT,ponctw,XX,XX,XX,XX,O.
83,3,toujours,adv,à_propos_de,prep,l',det,Afrique,np,la,det,O.
84,4,à_propos_de,prep,l',det,Afrique,np,la,det,France,np,B-geoloc.
85,5,l',det,Afrique,np,la,det,France,np,a,v,O.
86,6,Afrique,np,la,det,France,np,a,v,exprimé,v,B-org.
90,10,exprimé,v,sa,det,préoccupation,nc,face_à,prep,la,det,O.
93,13,face_à,prep,la,det,situation,nc,à,prep,Bujumbura,np,O.
94,14,la,det,situation,nc,à,prep,Bujumbura,np,au,prep,O.
95,15,situation,nc,à,prep,Bujumbura,np,au,prep,Burundi,np,B-geoloc.
96,16,à,prep,Bujumbura,np,au,prep,Burundi,np,à_la_suite_de,prep,O.
97,17,Bujumbura,np,au,prep,Burundi,np,à_la_suite_de,prep,l',det,B-geoloc.
100,20,à_la_suite_de,prep,l',det,attaque,nc,du,prep,sud,nc,O.
101,21,l',det,attaque,nc,du,prep,sud,nc,de,prep,O.
102,22,attaque,nc,du,prep,sud,nc,de,prep,la,det,O.
105,25,de,prep,la,det,ville,nc,par,prep,les,det,O.
111,31,hutus,adj,des,prep,forces,nc,nationales,adj,de,prep,O.
112,32,des,prep,forces,nc,nationales,adj,de,prep,libération,nc,O.
114,34,nationales,adj,de,prep,libération,nc,c',prep,est_ce_qu',adv,O.
120,40,indiqué,v,le,det,ministère,nc,français,adj,des,prep,B-org.
121,41,le,det,ministère,nc,français,adj,des,prep,affaires,nc,I-org.
123,43,français,adj,des,prep,affaires,nc,étrangères,adj,POINT,ponctw,I-org.
124,44,des,prep,affaires,nc,étrangères,adj,POINT,ponctw,XX,XX,I-org.
125,45,affaires,nc,étrangères,adj,POINT,ponctw,XX,XX,XX,XX,O.
130,3,enfin,adv,à,prep,Minsk,np,le,det,président,nc,B-geoloc.
132,5,Minsk,np,le,det,président,nc,Bélarusse,np,a,v,O.
133,6,le,det,président,nc,Bélarusse,np,a,v,limogé,v,O.
137,10,limogé,v,aujourd'hui,adv,son,det,Premier,np,ministre,nc,O.
138,11,aujourd'hui,adv,son,det,Premier,np,ministre,nc,ainsi_que,csu,O.
139,12,son,det,Premier,np,ministre,nc,ainsi_que,csu,plusieurs,det,O.
142,15,ainsi_que,csu,plusieurs,det,autres,adj,responsables,nc,gouvernementaux,adj,O.
143,16,plusieurs,det,autres,adj,responsables,nc,gouvernementaux,adj,en,prep,O.
144,17,autres,adj,responsables,nc,gouvernementaux,adj,en,prep,leur,det,O.
149,22,reprochant,v,des,det,difficultés,nc,économiques,adj,du,prep,O.
150,23,des,det,difficultés,nc,économiques,adj,du,prep,pays,nc,O.
152,25,économiques,adj,du,prep,pays,nc,POINT,ponctw,XX,XX,O.
153,26,du,prep,pays,nc,POINT,ponctw,XX,XX,XX,XX,O.
156,1,XX,XX,une,det,mesure,nc,dénoncée,v,par,prep,O.
160,5,par,prep,l',det,opposition,nc,qui,prorel,a,v,O.
165,10,vu,v,une,det,manoeuvre,nc,politique,adj,POINT,ponctw,O.
166,11,une,det,manoeuvre,nc,politique,adj,POINT,ponctw,XX,XX,O.
167,12,manoeuvre,nc,politique,adj,POINT,ponctw,XX,XX,XX,XX,O.
171,2,vous,cln,écoutez,v,RTM,np,Chaîne,adj,Internationale,np,B-org.
172,3,écoutez,v,RTM,np,Chaîne,adj,Internationale,np,point,nc,I-org.
173,4,RTM,np,Chaîne,adj,Internationale,np,point,nc,final,adj,I-org.
174,5,Chaîne,adj,Internationale,np,point,nc,final,adj,à,prep,O.
175,6,Internationale,np,point,nc,final,adj,à,prep,cette,det,O.
178,9,à,prep,cette,det,édition,nc,je,cln,vous,clo,O.
184,15,rappelle,v,les,det,principaux,adj,titres,nc,POINT,ponctw,O.
185,16,les,det,principaux,adj,titres,nc,POINT,ponctw,XX,XX,O.
186,17,principaux,adj,titres,nc,POINT,ponctw,XX,XX,XX,XX,O.
188,0,XX,XX,XX,XX,réunion,nc,du,prep,Conseil,nc,O.
189,1,XX,XX,réunion,nc,du,prep,Conseil,nc,de,prep,O.
190,2,réunion,nc,du,prep,Conseil,nc,de,prep,gouvernement,nc,O.
191,3,du,prep,Conseil,nc,de,prep,gouvernement,nc,sous,prep,O.
192,4,Conseil,nc,de,prep,gouvernement,nc,sous,prep,la,det,O.
195,7,sous,prep,la,det,présidence,nc,du,prep,Premier,np,O.
196,8,la,det,présidence,nc,du,prep,Premier,np,ministre,nc,O.
197,9,présidence,nc,du,prep,Premier,np,ministre,nc,Driss,np,O.
198,10,du,prep,Premier,np,ministre,nc,Driss,np,Jettou,np,O.
199,11,Premier,np,ministre,nc,Driss,np,Jettou,np,XX,XX,B-person.
200,12,ministre,nc,Driss,np,Jettou,np,XX,XX,XX,XX,I-person.
202,0,XX,XX,XX,XX,parlement,nc,après,prep,la,det,B-org.
205,3,après,prep,la,det,Chambre,nc,des,prep,conseillers,nc,B-org.
206,4,la,det,Chambre,nc,des,prep,conseillers,nc,la,det,I-org.
207,5,Chambre,nc,des,prep,conseillers,nc,la,det,Chambre,nc,I-org.
209,7,conseillers,nc,la,det,Chambre,nc,des,prep,représentants,nc,O.
210,8,la,det,Chambre,nc,des,prep,représentants,nc,devait,v,O.
211,9,Chambre,nc,des,prep,représentants,nc,devait,v,clore,v,O.
215,13,clore,v,sa,det,session,nc,d',prep,avril,nc,O.
216,14,sa,det,session,nc,d',prep,avril,nc,POINT,ponctw,O.
217,15,session,nc,d',prep,avril,nc,POINT,ponctw,XX,XX,O.
218,16,d',prep,avril,nc,POINT,ponctw,XX,XX,XX,XX,O.
220,0,XX,XX,XX,XX,le,det,Maroc,np,fait,v,O.
221,1,XX,XX,le,det,Maroc,np,fait,v,don,nc,B-org.
223,3,Maroc,np,fait,v,don,nc,de,prep,quatre,det,O.
226,6,de,prep,quatre,det,tonnes,nc,de,prep,médicaments,nc,O.
227,7,quatre,det,tonnes,nc,de,prep,médicaments,nc,à_la,prep,O.
228,8,tonnes,nc,de,prep,médicaments,nc,à_la,prep,Mauritanie,np,O.
229,9,de,prep,médicaments,nc,à_la,prep,Mauritanie,np,POINT,ponctw,O.
230,10,médicaments,nc,à_la,prep,Mauritanie,np,POINT,ponctw,XX,XX,B-org.
