      1 5	l'	org product geoloc person O
      1 5	Le	geoloc org person product O
      1 5	la	geoloc org product person O
      1 5	*	geoloc org person product O
      1 5	du	geoloc org person product O
      1 5	d'	org geoloc person product O
      1 5	de	geoloc org person product O
      1 5	Al	geoloc org person product O
      1 4	vingt	geoloc org product O
      1 4	un	geoloc org product O
      1 4	Saint	org person product O
      1 4	Robert	person geoloc org O
      1 4	Paris	geoloc org product O
      1 4	Mohamed	person geoloc product O
      1 4	Madrid	geoloc org product O
      1 4	les	org product geoloc O
      1 4	le	geoloc org product O
      1 4	La	geoloc org product O
      1 4	Hassan	person geoloc product O
      1 4	,	geoloc person product O
      1 4	)	geoloc org person O
      1 4	(	geoloc org person O
      1 4	frontières	product geoloc org O
      1 4	France	geoloc org product O
      1 4	Europe	geoloc org product O
      1 4	européenne	geoloc org product O
      1 4	et	geoloc org product O
      1 4	deux	geoloc org product O
      1 4	des	geoloc org product O
      1 4	cour	geoloc org product O
      1 4	cent	geoloc product org O
      1 4	A	org person geoloc O
      1 4	à	geoloc org product O
      1 3	Washington	geoloc org O
      1 3	vie	org product O
      1 3	V	geoloc person O
      1 3	vengeance	org product O
      1 3	université	geoloc org O
      1 3	trois	geoloc product O
      1 3	trente	geoloc product O
      1 3	treize	org geoloc O
      1 3	théâtre	geoloc org O
      1 3	Taïwan	geoloc org O
      1 3	sur	org product O
      1 3	Suisse	geoloc org O
      1 3	Sud	geoloc org O
      1 3	sport	org product O
      1 3	Simon	person org O
      1 3	sept	geoloc org O
      1 3	sans	geoloc org O
      1 3	Russie	geoloc org O
      1 3	République	geoloc org O
      1 3	radio	org geoloc O
      1 3	qui	org product O
      1 3	quinze	org geoloc O
      1 3	quatre	geoloc org O
      1 3	quatorze	geoloc org O
      1 3	quarante	geoloc product O
      1 3	prix	person product O
      1 3	Premier	org person O
      1 3	pour	org product O
      1 3	populaire	geoloc org O
      1 3	planète	geoloc org O
      1 3	Pays	geoloc org O
      1 3	parisienne	geoloc product O
      1 3	palais	geoloc org O
      1 3	!	org person O
      1 3	of	org product O
      1 3	Nord	geoloc org O
      1 3	Nobel	product person O
      1 3	neuf	geoloc product O
      1 3	National	org geoloc O
      1 3	national	geoloc org O
      1 3	nationale	geoloc org O
      1 3	Nancy	geoloc org person
      1 3	Nagano	geoloc org O
      1 3	Monte	org person product
      1 3	Montaigu	geoloc org O
      1 3	Monrovia	geoloc org O
      1 3	mille	geoloc product O
      1 3	Midi	geoloc org product
      1 3	maison	geoloc product O
      1 3	Maison	geoloc org O
      1 3	Lyon	geoloc org O
      1 3	Londres	geoloc org O
      1 3	Libye	geoloc org product
      1 3	justice	geoloc org O
      1 3	journal	org product O
      1 3	Jordanie	geoloc org person
      1 3	islamique	geoloc org O
      1 3	irakien	geoloc org O
      1 3	Irak	geoloc org O
      1 3	international	geoloc org O
      1 3	internationale	geoloc org O
      1 3	info	product geoloc O
      1 3	impossible	org product O
      1 3	huit	org geoloc O
      1 3	hôpital	geoloc org O
      1 3	Homme	org product O
      1 3	homme	org product O
      1 3	heures	org product O
      1 3	goût	org product O
      1 3	.	geoloc org O
      1 3	général	org person O
      1 3	fondation	geoloc org O
      1 3	femme	org product O
      1 3	euh	geoloc person O
      1 3	est	geoloc org O
      1 3	en	org product O
      1 3	El	geoloc person org
      1 3	édition	org product O
      1 3	économie	product org O
      1 3	droits	org product O
      1 3	douze	org geoloc O
      1 3	dernière	org product O
      1 3	démocratique	geoloc org O
      1 3	culture	org product O
      1 3	côté	org product O
      1 3	club	org product O
      1 3	cinquante	geoloc org O
      1 3	cinq	geoloc product O
      1 3	Chambre	geoloc org O
      1 3	César	person product O
      1 3	Centre	geoloc org O
      1 3	centrale	geoloc org O
      1 3	Burundi	geoloc org O
      1 3	Bagdad	geoloc org O
      1 3	aux	org product O
      1 3	au	org product O
      1 3	assemblée	geoloc org O
      1 3	art	geoloc org O
      1 3	ambassade	geoloc org O
      1 3	Allemagne	geoloc org product
      1 3	Afrique	geoloc org product
      1 3	accents	org product O
      1 3	Abou	person geoloc O
      1 3	Abidjan	geoloc org O
      1 2	Ziani	person O
      1 2	Zerr	person O
      1 2	zéro	geoloc O
      1 2	Zemmour	geoloc person
      1 2	Yves	person O
      1 2	Younès	person geoloc
      1 2	Yougoslavie	geoloc org
      1 2	Waters	org person
      1 2	Wall	geoloc org
      1 2	Voxan	product O
      1 2	vous	org O
      1 2	vôtre	org O
      1 2	von	person O
      1 2	Volandri	person O
      1 2	voix	org O
      1 2	Virra	person O
      1 2	Virenque	person O
      1 2	VI	person product
      1 2	ville	org O
      1 2	Vietnam	geoloc org
      1 2	vient	product O
      1 2	Verts	org O
      1 2	verte	geoloc O
      1 2	vente	org O
      1 2	Venise	geoloc org
      1 2	Vanessa	person O
      1 2	Valnor	person product
      1 2	val	geoloc O
      1 2	Vairelles	person O
      1 2	URSS	geoloc org
      1 2	urgence	org O
      1 2	urbain	org O
      1 2	urbaine	geoloc O
      1 2	universelle	product O
      1 2	unité	org O
      1 2	unis	geoloc org
      1 2	Union	geoloc org
      1 2	Unesco	geoloc org
      1 2	UDF	org O
      1 2	Turquie	geoloc org
      1 2	turque	org O
      1 2	Tunisie	geoloc org
      1 2	Trotta	person O
      1 2	Tripoli	geoloc org
      1 2	tribunal	geoloc O
      1 2	treizième	geoloc O
      1 2	travailler	product O
      1 2	transport	org O
      1 2	transitoire	org O
      1 2	traité	product O
      1 2	toute_la	product O
      1 2	tous	product O
      1 2	Tour	geoloc O
      1 2	Toulouse	geoloc O
      1 2	toulousain	geoloc O
      1 2	Togo	geoloc org
      1 2	Thorgal	person product
      1 2	Thomson	org person
      1 2	Thomin	person O
      1 2	Thierry	person O
      1 2	TGV	product O
      1 2	tête	org O
      1 2	terme	org O
      1 2	temps	org O
      1 2	télévision	org O
      1 2	téléphone	org O
      1 2	télécommunications	org O
      1 2	Téhéran	geoloc org
      1 2	techniques	org O
      1 2	Tanger	geoloc org
      1 2	Syrie	geoloc org
      1 2	syndicats	org O
      1 2	syndicat	org O
      1 2	syndicalisme	org O
      1 2	Sylvestre	person O
      1 2	sûreté	geoloc O
      1 2	supérieure	org O
      1 2	suisse	org O
      1 2	sud	org O
      1 2	Street	geoloc org
      1 2	Strauss_Kahn	person O
